code	comment	blank	ratio	file
21	14	9	0.67	cpp/.clang-format
59	69	4	1.17	cpp/.clang-tidy
327	265	67	0.81	cpp/CMakeLists.txt
76	0	23	0.00	cpp/README.md
960	118	145	0.12	cpp/benchmarks/benchmark.cpp
273	64	31	0.23	cpp/benchmarks/stability_bench.cpp
3	0	2	0.00	cpp/cmake/aletheia-cpp-config.cmake.in
15	31	1	2.07	cpp/include/aletheia/aletheia.hpp
99	93	34	0.94	cpp/include/aletheia/backend.hpp
222	49	55	0.22	cpp/include/aletheia/check.hpp
9	14	5	1.56	cpp/include/aletheia/cli.hpp
142	161	18	1.13	cpp/include/aletheia/client.hpp
227	119	56	0.52	cpp/include/aletheia/dbc.hpp
73	47	15	0.64	cpp/include/aletheia/detail/cache_keys.hpp
14	39	9	2.79	cpp/include/aletheia/detail/rational_renderer.hpp
10	13	7	1.30	cpp/include/aletheia/enrich.hpp
124	60	14	0.48	cpp/include/aletheia/error.hpp
16	22	7	1.38	cpp/include/aletheia/excel.hpp
37	60	22	1.62	cpp/include/aletheia/limits.hpp
68	38	19	0.56	cpp/include/aletheia/log.hpp
217	42	42	0.19	cpp/include/aletheia/ltl.hpp
73	59	25	0.81	cpp/include/aletheia/response.hpp
188	135	53	0.72	cpp/include/aletheia/types.hpp
19	11	7	0.58	cpp/include/aletheia/validation.hpp
46	28	8	0.61	cpp/include/aletheia/validation_issue.hpp
12	21	6	1.75	cpp/include/aletheia/yaml.hpp
1	19	1	19.00	cpp/sanitizer-ignorelist.txt
81	20	13	0.25	cpp/src/backend.cpp
499	87	47	0.17	cpp/src/cli/cli.cpp
19	5	4	0.26	cpp/src/cli/main.cpp
854	163	66	0.19	cpp/src/client.cpp
105	18	19	0.17	cpp/src/dbc.cpp
39	15	10	0.38	cpp/src/detail/ffi_logic.cpp
16	32	8	2.00	cpp/src/detail/ffi_logic.hpp
29	38	9	1.31	cpp/src/detail/json.hpp
188	76	32	0.40	cpp/src/detail/loader_utils.cpp
64	80	23	1.25	cpp/src/detail/loader_utils.hpp
100	48	23	0.48	cpp/src/detail/mock_backend.hpp
13	5	6	0.38	cpp/src/detail/rts_init.cpp
11	30	7	2.73	cpp/src/detail/rts_init.hpp
8	26	8	3.25	cpp/src/detail/rts_params.hpp
162	16	19	0.10	cpp/src/enrich.cpp
542	126	92	0.23	cpp/src/excel.cpp
327	109	49	0.33	cpp/src/ffi_backend.cpp
883	183	97	0.21	cpp/src/json_parse.cpp
414	62	45	0.15	cpp/src/json_serialize.cpp
67	21	19	0.31	cpp/src/mock_backend.cpp
157	59	23	0.38	cpp/src/rational_renderer.cpp
9	6	6	0.67	cpp/src/types.cpp
196	50	41	0.26	cpp/src/yaml.cpp
13	39	2	3.00	cpp/tests/.clang-tidy
147	36	22	0.24	cpp/tests/cli_tests.cpp
68	36	19	0.53	cpp/tests/dbc_corpus_parity_tests.cpp
393	98	50	0.25	cpp/tests/doc_example_tests.cpp
803	131	116	0.16	cpp/tests/excel_tests.cpp
6	15	1	2.50	cpp/tests/fuzz/.clang-tidy
84	24	12	0.29	cpp/tests/fuzz/fuzz_decode_binary_frame.cpp
10	9	3	0.90	cpp/tests/fuzz/fuzz_parse_dbc_json.cpp
16	18	3	1.12	cpp/tests/fuzz/fuzz_parse_rational_number.cpp
14	18	3	1.29	cpp/tests/fuzz/fuzz_parse_response.cpp
0	0	0	-	cpp/tests/fuzz/seed/decode_binary_frame/empty.bin
1	0	0	0.00	cpp/tests/fuzz/seed/decode_binary_frame/header_only.bin
1	0	0	0.00	cpp/tests/fuzz/seed/decode_binary_frame/one_absent.bin
1	0	0	0.00	cpp/tests/fuzz/seed/decode_binary_frame/one_value.bin
1	0	0	0.00	cpp/tests/fuzz/seed/parse_dbc_json/minimal.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_dbc_json/one_message.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_rational_number/dict.txt
1	0	0	0.00	cpp/tests/fuzz/seed/parse_rational_number/int64_overflow.txt
1	0	0	0.00	cpp/tests/fuzz/seed/parse_rational_number/integer.txt
1	0	0	0.00	cpp/tests/fuzz/seed/parse_rational_number/zero_denominator.txt
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/ack.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/error.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/error_bound.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/error_issues.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/property_batch.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/success.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/validation.json
1	0	0	0.00	cpp/tests/fuzz/seed/parse_response/validation_with_issue.json
1569	348	292	0.22	cpp/tests/integration_tests.cpp
15	15	5	1.00	cpp/tests/repo_root.hpp
56	21	5	0.38	cpp/tests/rts_heap_cap_workload.cpp
51	40	13	0.78	cpp/tests/rts_init_renderer_uninitialized_tests.cpp
45	29	8	0.64	cpp/tests/rts_setup_listener.cpp
130	82	55	0.63	cpp/tests/static_tests.cpp
39	16	12	0.41	cpp/tests/temp_path.hpp
228	80	36	0.35	cpp/tests/test_cross_binding_integration.cpp
181	35	25	0.19	cpp/tests/test_feature_matrix_parity.cpp
33	17	10	0.52	cpp/tests/test_helpers.hpp
159	60	41	0.38	cpp/tests/test_log_events_parity.cpp
54	33	10	0.61	cpp/tests/test_rts_heap_cap.cpp
20	9	9	0.45	cpp/tests/test_rts_params_parity.cpp
89	53	20	0.60	cpp/tests/test_wire_codes_parity.cpp
8	2	0	0.25	cpp/tests/testdata/doc_examples/checks.yaml
14	6	5	0.43	cpp/tests/text_file.hpp
155	59	32	0.38	cpp/tests/unit_tests_cancel.cpp
253	53	49	0.21	cpp/tests/unit_tests_check.cpp
786	118	142	0.15	cpp/tests/unit_tests_client.cpp
243	42	42	0.17	cpp/tests/unit_tests_dbc.cpp
102	33	16	0.32	cpp/tests/unit_tests_decimal.cpp
817	116	134	0.14	cpp/tests/unit_tests_enrich.cpp
84	32	20	0.38	cpp/tests/unit_tests_ffi_logic.cpp
147	53	21	0.36	cpp/tests/unit_tests_input_bounds.cpp
1752	192	207	0.11	cpp/tests/unit_tests_json.cpp
150	29	26	0.19	cpp/tests/unit_tests_log.cpp
74	26	10	0.35	cpp/tests/unit_tests_property.cpp
244	41	49	0.17	cpp/tests/unit_tests_validation.cpp
515	35	48	0.07	cpp/tests/yaml_tests.cpp
17698	4965	2924	0.28	TOTAL
