code	comment	blank	ratio	file
62	0	22	0.00	go/README.md
36	78	13	2.17	go/aletheia/backend.go
211	4	25	0.02	go/aletheia/batch_test.go
16	3	6	0.19	go/aletheia/byteorder_string.go
283	83	44	0.29	go/aletheia/cancel_test.go
247	91	45	0.37	go/aletheia/check.go
285	32	39	0.11	go/aletheia/check_test.go
818	344	46	0.42	go/aletheia/client.go
71	32	12	0.45	go/aletheia/concurrent_test.go
443	121	30	0.27	go/aletheia/cross_binding_integration_test.go
407	220	107	0.54	go/aletheia/dbc.go
115	44	14	0.38	go/aletheia/dbc_corpus_parity_test.go
137	20	16	0.15	go/aletheia/dbc_stale_index_test.go
1164	24	87	0.02	go/aletheia/dbc_test.go
339	17	32	0.05	go/aletheia/dbc_tier1_test.go
524	33	44	0.06	go/aletheia/dbc_tier2_test.go
94	23	23	0.24	go/aletheia/dbc_value_descriptions_test.go
21	3	6	0.14	go/aletheia/dbcattrscope_string.go
17	3	6	0.18	go/aletheia/dbcvartype_string.go
76	62	17	0.82	go/aletheia/decimal.go
4	8	3	2.00	go/aletheia/decimal_nocgo.go
68	18	8	0.26	go/aletheia/decimal_test.go
1	86	1	86.00	go/aletheia/doc.go
131	370	37	2.82	go/aletheia/doc_examples_test.go
44	24	5	0.55	go/aletheia/doc_no_notest_test.go
80	12	15	0.15	go/aletheia/dsl_test.go
294	99	27	0.34	go/aletheia/enrich.go
678	39	75	0.06	go/aletheia/enrich_test.go
386	59	28	0.15	go/aletheia/eos_extract_once_test.go
160	207	37	1.29	go/aletheia/error.go
323	63	32	0.20	go/aletheia/error_test.go
18	3	6	0.17	go/aletheia/errorkind_string.go
16	17	5	1.06	go/aletheia/export_test.go
163	49	17	0.30	go/aletheia/extraction_bin_test.go
188	31	20	0.16	go/aletheia/feature_matrix_test.go
541	257	74	0.48	go/aletheia/ffi.go
131	31	18	0.24	go/aletheia/ffi_backend_test.go
48	29	21	0.60	go/aletheia/ffi_nocgo.go
80	19	6	0.24	go/aletheia/format_dbc_text_roundtrip_test.go
106	62	15	0.58	go/aletheia/fuzz_test.go
56	9	7	0.16	go/aletheia/helpers_test.go
246	41	22	0.17	go/aletheia/input_bounds_test.go
21	7	4	0.33	go/aletheia/internal_test_helpers_test.go
16	3	6	0.19	go/aletheia/issueseverity_string.go
1886	315	127	0.17	go/aletheia/json.go
125	38	7	0.30	go/aletheia/json_error_decode_test.go
143	38	11	0.27	go/aletheia/json_precision_test.go
27	37	17	1.37	go/aletheia/limits.go
78	28	17	0.36	go/aletheia/loader.go
57	3	7	0.05	go/aletheia/loader_test.go
199	65	32	0.33	go/aletheia/log_events_test.go
117	67	40	0.57	go/aletheia/ltl.go
66	25	7	0.38	go/aletheia/main_test.go
131	70	29	0.53	go/aletheia/mock.go
133	34	16	0.26	go/aletheia/mux_mirror_warnings_test.go
514	43	42	0.08	go/aletheia/mux_test.go
257	35	17	0.14	go/aletheia/nested_mux_test.go
157	12	23	0.08	go/aletheia/options_test.go
113	61	10	0.54	go/aletheia/property_test.go
111	68	20	0.61	go/aletheia/renderer.go
127	118	28	0.93	go/aletheia/result.go
23	34	6	1.48	go/aletheia/rts.go
96	26	12	0.27	go/aletheia/rts_heap_cap_test.go
77	14	10	0.18	go/aletheia/rts_params_parity_test.go
229	15	31	0.07	go/aletheia/seq_batch_test.go
1282	87	147	0.07	go/aletheia/stream_test.go
8	2	0	0.25	go/aletheia/testdata/doc_examples/checks.yaml
113	87	42	0.77	go/aletheia/types.go
238	6	24	0.03	go/aletheia/types_test.go
17	3	6	0.18	go/aletheia/verdict_string.go
215	38	24	0.18	go/aletheia/wire_codes_parity_test.go
269	77	36	0.29	go/aletheia/yaml.go
611	31	46	0.05	go/aletheia/yaml_test.go
762	105	114	0.14	go/benchmarks/main.go
261	58	27	0.22	go/benchmarks/stability/main.go
514	69	35	0.13	go/cmd/aletheia/main.go
216	33	19	0.15	go/cmd/aletheia/main_test.go
743	107	94	0.14	go/excel/excel.go
1226	137	111	0.11	go/excel/excel_test.go
18	13	4	0.72	go/excel/go.mod
30	0	0	0.00	go/excel/go.sum
84	42	8	0.50	go/excel/hardening.go
4	0	3	0.00	go/go.mod
4	0	0	0.00	go/go.sum
7	19	3	2.71	go/go.work
10	0	0	0.00	go/go.work.sum
20463	4840	2375	0.24	TOTAL
