code	comment	blank	ratio	file
105	0	28	0.00	go/README.md
36	51	13	1.42	go/aletheia/backend.go
165	11	22	0.07	go/aletheia/batch_test.go
16	3	6	0.19	go/aletheia/byteorder_string.go
218	42	37	0.19	go/aletheia/cancel_test.go
239	69	45	0.29	go/aletheia/check.go
296	26	15	0.09	go/aletheia/check_test.go
792	291	46	0.37	go/aletheia/client.go
52	8	6	0.15	go/aletheia/concurrent_test.go
357	64	23	0.18	go/aletheia/cross_binding_integration_test.go
372	143	100	0.38	go/aletheia/dbc.go
93	25	9	0.27	go/aletheia/dbc_corpus_parity_test.go
73	17	7	0.23	go/aletheia/dbc_stale_index_test.go
376	34	23	0.09	go/aletheia/dbc_test.go
163	20	17	0.12	go/aletheia/dbc_tier1_test.go
120	14	10	0.12	go/aletheia/dbc_tier2_test.go
67	16	11	0.24	go/aletheia/dbc_value_descriptions_test.go
21	3	6	0.14	go/aletheia/dbcattrscope_string.go
17	3	6	0.18	go/aletheia/dbcvartype_string.go
59	44	13	0.75	go/aletheia/decimal.go
4	7	3	1.75	go/aletheia/decimal_nocgo.go
52	16	6	0.31	go/aletheia/decimal_test.go
1	73	1	73.00	go/aletheia/doc.go
137	332	40	2.42	go/aletheia/doc_examples_test.go
36	12	8	0.33	go/aletheia/doc_no_notest_test.go
40	7	6	0.17	go/aletheia/dsl_test.go
279	59	27	0.21	go/aletheia/enrich.go
278	30	19	0.11	go/aletheia/enrich_test.go
196	46	26	0.23	go/aletheia/eos_extract_once_test.go
160	185	37	1.16	go/aletheia/error.go
144	26	15	0.18	go/aletheia/error_test.go
18	3	6	0.17	go/aletheia/errorkind_string.go
18	20	8	1.11	go/aletheia/export_test.go
232	49	18	0.21	go/aletheia/extraction_bin_test.go
189	27	16	0.14	go/aletheia/feature_matrix_test.go
474	193	60	0.41	go/aletheia/ffi.go
253	40	20	0.16	go/aletheia/ffi_backend_test.go
45	31	25	0.69	go/aletheia/ffi_nocgo.go
101	21	7	0.21	go/aletheia/format_dbc_text_roundtrip_test.go
82	33	13	0.40	go/aletheia/fuzz_test.go
163	32	22	0.20	go/aletheia/helpers_test.go
154	32	17	0.21	go/aletheia/input_bounds_test.go
21	7	5	0.33	go/aletheia/internal_test_helpers_test.go
16	3	6	0.19	go/aletheia/issueseverity_string.go
1804	254	133	0.14	go/aletheia/json.go
141	24	8	0.17	go/aletheia/json_error_decode_test.go
142	26	12	0.18	go/aletheia/json_precision_test.go
30	32	20	1.07	go/aletheia/limits.go
126	37	16	0.29	go/aletheia/loader.go
250	25	15	0.10	go/aletheia/loader_test.go
214	41	29	0.19	go/aletheia/log_events_test.go
117	62	40	0.53	go/aletheia/ltl.go
85	24	7	0.28	go/aletheia/main_test.go
131	55	29	0.42	go/aletheia/mock.go
121	27	11	0.22	go/aletheia/mux_mirror_warnings_test.go
406	35	21	0.09	go/aletheia/mux_test.go
184	17	10	0.09	go/aletheia/nested_mux_test.go
80	15	13	0.19	go/aletheia/options_test.go
169	40	12	0.24	go/aletheia/property_test.go
117	56	20	0.48	go/aletheia/renderer.go
127	94	28	0.74	go/aletheia/result.go
23	30	6	1.30	go/aletheia/rts.go
104	26	14	0.25	go/aletheia/rts_heap_cap_test.go
107	17	8	0.16	go/aletheia/rts_params_parity_test.go
187	25	24	0.13	go/aletheia/seq_batch_test.go
939	85	101	0.09	go/aletheia/stream_test.go
8	2	0	0.25	go/aletheia/testdata/doc_examples/checks.yaml
4	0	0	0.00	go/aletheia/testdata/fuzz/FuzzMarshalCommand/f32a925c08c852ac
116	76	42	0.66	go/aletheia/types.go
194	19	14	0.10	go/aletheia/types_test.go
17	3	6	0.18	go/aletheia/verdict_string.go
204	30	14	0.15	go/aletheia/wire_codes_parity_test.go
243	47	37	0.19	go/aletheia/yaml.go
313	25	18	0.08	go/aletheia/yaml_test.go
766	76	96	0.10	go/benchmarks/main.go
240	58	29	0.24	go/benchmarks/stability/main.go
520	71	37	0.14	go/cmd/aletheia/main.go
329	33	24	0.10	go/cmd/aletheia/main_test.go
671	89	80	0.13	go/excel/excel.go
1200	119	75	0.10	go/excel/excel_test.go
18	8	4	0.44	go/excel/go.mod
30	0	0	0.00	go/excel/go.sum
84	45	9	0.54	go/excel/hardening.go
4	0	3	0.00	go/go.mod
4	0	0	0.00	go/go.sum
7	15	3	2.14	go/go.work
10	0	0	0.00	go/go.work.sum
17316	3931	1922	0.23	TOTAL
